Wähler;Ungültige;Ungültige;SPD;SPD;CDU;CDU;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;NPD;NPD;REP;REP;FAMILIE;FAMILIE;Die Tierschutzpartei;Die Tierschutzpartei;PBC;PBC;MLPD;MLPD;BüSo;BüSo;BP;BP;PSG;PSG;Volksabstimmung;Volksabstimmung;ZENTRUM;ZENTRUM;ADM;ADM;CM;CM;DKP;DKP;DVU;DVU;DIE VIOLETTEN;DIE VIOLETTEN;FWD;FWD;ödp;ödp;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Freie Union;Freie Union;Übrige;Übrige
;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
163329;4117;4181;52139;41793;61793;51068;15292;24187;11918;13481;16399;21967;0;0;1302;1240;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;369;0;0;0;0;0;0;0;0;159;0;0;0;0;0;0;0;3385;0;0;0;1821;0;0;0;0
134671;3382;3218;36642;32239;56751;47947;15184;22605;8208;8836;12840;14927;0;0;1231;1126;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;0;0;0;0;0;0;0;2233;0;0;0;1293;0;0;433;0
128320;3348;3030;37277;31282;49779;43480;16037;21970;8896;9808;10665;12899;0;0;1603;1512;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;0;0;0;0;2549;0;0;0;1604;0;0;715;0
150018;3404;3026;47610;39253;58876;49789;14317;23442;8729;9821;14790;18751;0;0;1344;1220;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;2985;0;0;0;1540;0;0;948;0
145483;3442;2263;54398;42369;42733;36397;12188;19156;11817;13430;18699;24659;0;0;1392;1275;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;0;0;0;0;0;0;0;4267;0;0;0;1448;0;0;814;0
127971;3292;3031;41683;35557;48136;40110;12515;19772;7871;8936;12187;15701;0;0;1363;1315;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;0;0;0;0;2281;0;0;0;1095;0;0;924;0
176188;3384;3193;54950;45540;70458;57203;17018;28640;11794;13412;16143;20978;0;0;1912;1743;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;0;0;0;0;0;0;0;3659;0;0;0;1571;0;0;529;0
180295;3674;3303;54065;44445;70290;58225;20084;31407;12527;14280;16633;21245;0;0;1797;1687;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;0;0;0;0;0;0;0;3598;0;0;0;1814;0;0;1225;0
131917;4043;3094;43765;36329;49363;42193;14397;22701;8235;9342;10411;13651;0;0;1270;1192;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0;0;0;0;2062;0;0;0;1178;0;0;433;0
181568;3884;3259;53073;45354;70874;59075;19742;30714;12351;13855;18761;22240;0;0;2330;2126;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;553;0;0;0;0;0;0;3248;0;0;0;1445;0;0;0;0
