Partei;Jahr;Erststimmen;Zweitstimmen
1;2009;396;2889
2;2013;810915;2056985
3;2013;624;0
4;2013;1431;0
5;2013;2680;17743
6;2009;32324;48311
6;2013;28430;57395
7;2013;5324;8578
7;2009;37946;100605
8;2009;34894;38706
8;2013;17988;12814
9;2009;13856674;11828277
9;2013;16233642;14921877
10;2009;0;6826
11;2009;3191000;2830238
11;2013;3544079;3243569
12;2013;0;12148
13;2009;4791124;5155933
13;2013;3585178;3755699
14;2013;39388;78674
15;2013;0;2245
16;2009;5794;31957
16;2013;2516;8211
17;2009;929;1894
17;2013;1699;0
18;2009;0;45752
19;2009;17848;120718
19;2013;4478;7449
20;2009;4076496;6316080
20;2013;1028645;2083533
21;2009;6121;0
22;2013;431640;423977
22;2009;0;11243
23;2009;3977125;4643272
23;2013;3180299;3694057
24;2009;17512;29261
24;2013;12904;24219
25;2013;290;0
26;2013;0;11349
27;2009;768442;635525
27;2013;635135;560828
28;2009;105653;132249
28;2013;128209;127088
29;2013;3861;24719
30;2009;12052;40370
30;2013;2081;18542
31;2009;46770;847870
31;2013;963623;959177
32;2013;4815;73854
33;2009;0;2957
33;2013;0;4564
34;2009;0;56399
34;2013;920;25134
35;2009;30061;193396
35;2013;27299;91193
36;2009;12079758;9990488
36;2013;12843458;11252215
37;2009;16887;230872
37;2013;4437;140366
38;2009;2550;23015
38;2013;1748;28654
39;2009;369;6087
40;2009;139275;0
40;2013;77306;0
