federalland;party;year
1;36;2009
1;9;2009
1;20;2009
1;13;2009
1;23;2009
1;27;2009
1;24;2009
1;39;2009
1;18;2009
1;16;2009
1;31;2009
1;34;2009
1;40;2009
1;9;2013
1;36;2013
1;20;2013
1;13;2013
1;23;2013
1;31;2013
1;27;2013
1;37;2013
1;34;2013
1;2;2013
1;22;2013
1;40;2013
2;36;2009
2;9;2009
2;20;2009
2;13;2009
2;23;2009
2;27;2009
2;24;2009
2;8;2009
2;18;2009
2;28;2009
2;31;2009
2;34;2009
2;40;2009
2;9;2013
2;36;2013
2;20;2013
2;13;2013
2;23;2013
2;31;2013
2;27;2013
2;28;2013
2;34;2013
2;24;2013
2;2;2013
2;22;2013
2;14;2013
2;40;2013
3;36;2009
3;9;2009
3;20;2009
3;13;2009
3;23;2009
3;27;2009
3;37;2009
3;30;2009
3;24;2009
3;8;2009
3;18;2009
3;28;2009
3;31;2009
3;7;2009
3;40;2009
3;9;2013
3;36;2013
3;20;2013
3;13;2013
3;23;2013
3;31;2013
3;27;2013
3;37;2013
3;35;2013
3;19;2013
3;7;2013
3;30;2013
3;24;2013
3;2;2013
3;5;2013
3;32;2013
3;22;2013
3;40;2013
4;36;2009
4;9;2009
4;20;2009
4;13;2009
4;23;2009
4;27;2009
4;35;2009
4;30;2009
4;24;2009
4;18;2009
4;31;2009
4;7;2009
4;40;2009
4;9;2013
4;36;2013
4;20;2013
4;13;2013
4;23;2013
4;31;2013
4;27;2013
4;37;2013
4;7;2013
4;24;2013
4;2;2013
4;32;2013
4;22;2013
4;14;2013
4;40;2013
5;36;2009
5;9;2009
5;20;2009
5;13;2009
5;23;2009
5;27;2009
5;35;2009
5;19;2009
5;37;2009
5;24;2009
5;8;2009
5;33;2009
5;38;2009
5;39;2009
5;18;2009
5;16;2009
5;28;2009
5;31;2009
5;7;2009
5;34;2009
5;40;2009
5;9;2013
5;36;2013
5;20;2013
5;13;2013
5;23;2013
5;31;2013
5;27;2013
5;35;2013
5;28;2013
5;19;2013
5;7;2013
5;8;2013
5;24;2013
5;38;2013
5;33;2013
5;2;2013
5;5;2013
5;32;2013
5;15;2013
5;22;2013
5;26;2013
5;29;2013
5;14;2013
5;40;2013
6;36;2009
6;9;2009
6;20;2009
6;13;2009
6;23;2009
6;27;2009
6;35;2009
6;37;2009
6;24;2009
6;8;2009
6;1;2009
6;18;2009
6;31;2009
6;40;2009
6;9;2013
6;36;2013
6;20;2013
6;13;2013
6;23;2013
6;31;2013
6;27;2013
6;35;2013
6;8;2013
6;24;2013
6;33;2013
6;2;2013
6;32;2013
6;22;2013
6;14;2013
6;40;2013
7;36;2009
7;9;2009
7;20;2009
7;13;2009
7;23;2009
