Wkr.-Nr.;Jahr;Wahlberechtigte
1;2009;225216
2;2009;187047
3;2009;177604
4;2009;198910
5;2009;200347
6;2009;175132
7;2009;232899
8;2009;240010
9;2009;179987
10;2009;237144
11;2009;180424
12;2009;226424
13;2009;217571
14;2009;224968
15;2009;253514
16;2009;247700
17;2009;230121
18;2009;249150
19;2009;178340
20;2009;185790
21;2009;207016
22;2009;217147
23;2009;219191
24;2009;189804
25;2009;231076
26;2009;190546
27;2009;215591
28;2009;226440
29;2009;189058
30;2009;192956
31;2009;226979
32;2009;212449
33;2009;193411
34;2009;192320
35;2009;168573
36;2009;191159
37;2009;177098
38;2009;197143
39;2009;192473
40;2009;198376
41;2009;180088
42;2009;190623
43;2009;232214
44;2009;217316
45;2009;216957
46;2009;197394
47;2009;239450
48;2009;222804
49;2009;213208
50;2009;189975
51;2009;187831
52;2009;214330
53;2009;224468
54;2009;256131
55;2009;231847
56;2009;171705
57;2009;168604
58;2009;249983
59;2009;255845
60;2009;199083
61;2009;239221
62;2009;246651
63;2009;208525
64;2009;196389
65;2009;192709
66;2009;182677
67;2009;239481
68;2009;237308
69;2009;249356
70;2009;197289
71;2009;253026
72;2009;223268
73;2009;214081
74;2009;232086
75;2009;197252
76;2009;232250
77;2009;183112
78;2009;184436
79;2009;217335
80;2009;195857
81;2009;232759
82;2009;197444
83;2009;222647
84;2009;200391
85;2009;203416
86;2009;204766
87;2009;176885
88;2009;228546
89;2009;187605
90;2009;199907
91;2009;245417
92;2009;245382
93;2009;186798
94;2009;224430
95;2009;197023
96;2009;219218
97;2009;231404
98;2009;211859
99;2009;211963
100;2009;215582
101;2009;213303
102;2009;216614
103;2009;229927
104;2009;204450
105;2009;168402
106;2009;218215
107;2009;195910
108;2009;213950
109;2009;194294
110;2009;204291
111;2009;227805
112;2009;226029
113;2009;207451
114;2009;182878
115;2009;174332
116;2009;171011
117;2009;212283
118;2009;194638
119;2009;171457
120;2009;197729
121;2009;174767
122;2009;194999
123;2009;187486
124;2009;200304
125;2009;208655
126;2009;196659
127;2009;189353
128;2009;192966
129;2009;210934
130;2009;211287
131;2009;232944
132;2009;247085
133;2009;233781
134;2009;209155
135;2009;174517
136;2009;216917
137;2009;243442
138;2009;217768
139;2009;183435
140;2009;214358
141;2009;188777
142;2009;214213
143;2009;208840
144;2009;202933
145;2009;239907
146;2009;232781
147;2009;209440
148;2009;218411
149;2009;214196
150;2009;210993
151;2009;178447
152;2009;202455
153;2009;212804
154;2009;231084
155;2009;216629
156;2009;237786
157;2009;238958
158;2009;215674
159;2009;230676
160;2009;231247
161;2009;223149
162;2009;205652
163;2009;202743
164;2009;247624
165;2009;229535
166;2009;213732
167;2009;192360
168;2009;222636
169;2009;184337
170;2009;194732
171;2009;185071
172;2009;212611
173;2009;214882
174;2009;210695
175;2009;181422
176;2009;182246
177;2009;173946
178;2009;221226
179;2009;187479
180;2009;175874
181;2009;195505
182;2009;190058
183;2009;212140
184;2009;172278
185;2009;221180
186;2009;233622
187;2009;234911
188;2009;199708
189;2009;204717
190;2009;201700
191;2009;201075
192;2009;214510
193;2009;225534
194;2009;245228
195;2009;182336
196;2009;231447
197;2009;207012
198;2009;242568
199;2009;195658
200;2009;196560
201;2009;178493
202;2009;190569
203;2009;168357
204;2009;192571
205;2009;213225
206;2009;251837
207;2009;202156
208;2009;217445
209;2009;220974
210;2009;235030
211;2009;184220
212;2009;214215
213;2009;166775
214;2009;185961
215;2009;212087
216;2009;244678
217;2009;250512
218;2009;220785
219;2009;231017
220;2009;211617
221;2009;231682
222;2009;242625
223;2009;226483
224;2009;242366
225;2009;205115
226;2009;249153
227;2009;154767
228;2009;246833
229;2009;186068
230;2009;162109
231;2009;173068
