Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Abdelwahab, Aly;2009;;32;83;8
Abler, Eugen;2009;17;2;;15
Ach, Dominik;2009;;4;255;14
Ach, Edith;2009;2;10;;11
Achminow, Alexander;2009;8;2;154;10
Ackermann, Jens;2009;2;5;70;7
Ackermann, Thomas;2009;18;4;;11
Adam, Hans-Martin;2009;7;23;;3
Adam, Ulrich;2009;3;2;16;2
Adamek, Bernhard;2009;;9;142;9
Adams, Andreas;2009;;6;202;13
Adams, Dirk;2009;18;4;;12
Adasch, Thomas;2009;42;2;;4
Addicks, Dr. Karl;2009;1;5;296;16
Adler, Hans-Henning;2009;22;6;;4
Adler, Sebastian;2009;5;5;;2
Adomeit, Michael Harald;2009;;32;15;2
Ahlers, Uwe;2009;4;5;;2
Ahlf, Klaus Dieter;2009;6;7;66;7
Ahlfeld, Matthias;2009;14;9;71;7
Ahrend, Vera;2009;4;11;;9
Ahrendt, Christian;2009;1;5;13;2
Ahrens, Sandra;2009;5;2;;5
Aigner, Ilse;2009;;3;225;14
Akgün, Dr. Lale;2009;28;1;95;9
Albach, Peter;2009;9;2;192;12
Albers, Dr. Wolfgang;2009;14;6;;8
Albrecht, Dieter;2009;6;4;47;4
Albrecht, Klaus;2009;;6;169;11
Albrecht, Richard Hermann;2009;8;15;;14
Albrecht, Tobias;2009;1;23;;3
Altendorf, Sven;2009;;9;210;13
Altesleben, Bettina;2009;12;1;;16
Altherr, Dr. Walter;2009;14;2;211;13
Althoff, Jörg;2009;14;4;171;11
Altmaier, Peter;2009;2;2;297;16
Altmann, Dr. Elisabeth Hedwig;2009;;6;247;14
Altmann, Dr. Ulf;2009;11;2;;7
Altvater, Friedhelm Karl Christian;2009;1;25;;5
Altvater, Walter;2009;8;4;209;13
Amann, Gregor;2009;20;1;183;11
Andreae, Kerstin;2009;3;4;282;15
Andrejewski, Michael;2009;1;9;16;2
Andres, Gerd;2009;29;1;41;4
Andresen, Rasmus;2009;12;4;;1
Andromidas, Andrea;2009;11;15;;11
Annen, Niels;2009;8;1;21;3
Anton, Hans-Günther;2009;4;11;;11
Apfel, Holger;2009;1;9;156;10
Apostel, Erika Marie Anna;2009;5;11;;5
Appel, Detlef;2009;3;9;61;6
Appenrodt, Corinna;2009;8;1;;12
Arendt, Dirk Reinhard;2009;2;9;15;2
Arens, Helmut;2009;1;24;;11
Aretz, Henning;2009;53;2;121;9
Arlt, Gerd Eduard;2009;;5;118;9
Arndt, Rüdiger Gerhard;2009;10;6;;5
Arndt-Brauer, Ingrid;2009;14;1;125;9
Arnecke, Klaus;2009;4;22;;6
Arnold, Rainer;2009;16;1;263;15
Arslan, Bülent;2009;45;2;;9
Arzt, Gabriela;2009;8;2;64;6
Asad, Renate;2009;10;6;;3
Aschenberg-Dugnus, Christine;2009;6;5;4;1
Aßmann, Helma;2009;5;15;85;8
Atan, Ferit;2009;6;22;;15
Auernhammer, Artur;2009;29;3;;14
Aulenbacher, Christa;2009;5;11;;9
Austen, Wolfhard;2009;;31;171;11
Aydin, Hüseyin-Kenan;2009;6;6;;9
Bäätjer, Hans-Joachim;2009;;9;37;4
Baba, Evrim;2009;7;6;83;8
Babel, Dr. Gisela;2009;42;5;;11
Babic, Safet;2009;4;9;205;13
Bach, Thomas Joachim;2009;36;2;;11
Bachmaier, Hermann;2009;25;1;269;15
Bachmann, Dr. Volker;2009;;12;294;15
Bachmann, Iris;2009;21;4;;11
Backes, Veronika;2009;32;2;;11
Bader, Anja;2009;27;6;;10
Bader, Jürgen;2009;1;22;;3
Badla, Karlheinz;2009;25;11;;9
Baecker, Dietrich Karl Ernst;2009;1;12;;5
Bagehorn, Uwe;2009;;9;168;10
Bahr, Daniel;2009;8;5;130;9
Bahr, Ernst;2009;11;1;56;6
Bahr, Karola;2009;11;6;;6
Bähr, Manfred;2009;;5;71;7
Baitschora, Harry;2009;;9;256;14
Balluff, Peter;2009;;6;207;13
Balski, Mathias Michael;2009;10;23;;8
Balz, Burkhard;2009;41;2;;4
Bambach, Rüdiger Horst;2009;10;5;;3
Bankert, Angela;2009;27;6;;9
Bankmann, Klaus;2009;14;11;;8
Bannert, Stefan;2009;;6;249;14
Bannert, Ulrich Gustav;2009;13;8;;14
Bansemir, Dina Susanne;2009;9;6;;14
Bansemir, Markus;2009;4;6;239;14
Bär, Dr. Oliver;2009;37;3;;14
Bareiß, Thomas;2009;;2;295;15
Barfuß, Dieter;2009;;9;67;7
Barfuß, Dr. Georg;2009;21;5;255;14
Barges, Hermann;2009;;32;83;8
Bargon, Werner;2009;5;9;183;11
Barnett, Doris;2009;2;1;209;13
Bartel, Frank;2009;26;6;136;9
Bartels, Dr. Hans-Peter;2009;6;1;5;1
Bartels, Hermann;2009;28;2;40;4
Bartelt, Christian;2009;;5;16;2
Bartelt, Dr. Ralf-Norbert;2009;34;2;;11
Barth, Edith;2009;23;1;;16
Barth, Ingolf Johannes;2009;8;12;;10
Barth, Uwe;2009;1;5;195;12
Barthel, Klaus;2009;11;1;225;14
