Wkr.-Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
1;74802;74480;0;7068;5347;6150;0;0;1306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;56380;67786;0;5670;5907;4542;0;0;1213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;56428;61471;0;4480;6024;4899;0;0;1471;0;0;0;0;2143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;68480;69082;0;6164;5607;5106;0;0;1454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;761
5;75473;50437;0;9196;4509;6103;0;0;1313;0;0;0;0;1759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;63207;57110;0;5166;4798;0;0;0;1800;0;0;0;0;2341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;78236;80935;0;9118;6743;6142;0;0;1789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;79520;81812;0;7522;7530;5971;0;0;1550;0;0;0;0;2548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;61947;60608;0;3798;5402;4363;0;0;1201;0;0;0;0;1716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;82387;83029;0;9499;8955;0;0;0;3078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;64442;46254;0;5664;4493;5358;0;0;1322;0;0;0;0;2249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;57998;44656;0;4322;7999;33509;0;0;5085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;54180;35360;0;3466;5158;28167;0;0;4509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1306
14;51623;35053;0;12917;5656;30578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1179;0;0;0;0;0;0;0;0;0;0
15;35028;57131;0;2734;4078;32850;0;0;4787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1692
