Wahlkreis;SPD;CDU;FDP;DIELINKE;GRUENE;CSU;NPD;REP;FAMILIE;DieTierschutzpartei;PBC;MLPD;BueSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIEVIOLETTEN;oedp;PIRATEN;RRP;FreieUnion;Uebrige
300;52139;61793;15292;11918;16399;0;1302;0;0;0;0;0;0;0;0;369;0;0;0;0;0;0;0;0
301;36642;56751;15184;8208;12840;0;1231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433
302;37277;49779;16037;8896;10665;0;1603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;715
303;47610;58876;14317;8729;14790;0;1344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;948
304;54398;42733;12188;11817;18699;0;1392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;814
305;41683;48136;12515;7871;12187;0;1363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;924
306;54950;70458;17018;11794;16143;0;1912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;529
307;54065;70290;20084;12527;16633;0;1797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1225
308;43765;49363;14397;8235;10411;0;1270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433
309;53073;70874;19742;12351;18761;0;2330;0;0;0;0;0;0;0;0;0;0;0;553;0;0;0;0;0
310;44393;36745;13296;10973;14098;0;1595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
311;36134;44260;11464;41449;7840;0;4699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116
312;28275;45462;10106;40228;6601;0;4239;0;0;0;0;0;0;0;0;0;0;0;0;133;0;0;0;617
313;29052;41161;9931;46323;15050;0;3681;0;0;0;0;554;0;0;0;0;0;0;0;74;0;0;0;1113
314;19090;70329;8491;40081;6757;0;4115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2718
315;22994;52897;11746;46343;5412;0;8369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2175
316;25869;47714;9731;40987;5166;0;4698;0;0;0;0;0;0;0;0;0;0;0;0;316;0;0;0;1149
317;56125;43306;12700;21173;26261;0;2341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
318;47298;39303;10655;13206;18888;0;780;0;0;0;0;158;151;0;0;0;0;0;0;709;0;0;0;957
319;33272;43661;11712;12484;36381;0;967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1292
320;53469;61873;12766;10805;21268;0;1010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
321;51460;53958;11408;14021;13914;0;1972;0;0;0;0;0;0;0;0;0;0;0;0;1190;0;0;0;0
322;54965;46303;10727;14430;11728;0;2111;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0
323;57876;33706;9314;13213;14451;0;1886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
324;47481;73405;15470;12062;11981;0;1862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
325;51851;42211;12283;12055;9794;0;1911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
326;49020;55610;13840;14080;21651;0;1548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;707;0;0
327;55374;56273;16163;13751;14446;0;2346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1261;0;0
328;50481;51654;10426;10307;8379;0;1828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;847
329;46851;62035;9946;9096;9409;0;2349;0;0;0;0;0;307;0;0;0;0;0;0;0;0;0;0;431
330;43503;91378;13278;8195;9819;0;1130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
331;28053;91686;12700;6927;6575;0;1286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
332;48313;52599;15928;9775;11917;0;1660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
333;52397;53080;10787;12242;12318;0;2417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
334;42395;48344;9895;8366;9101;0;2138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
335;45002;59657;15812;9611;13772;0;1935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1153;0;0
336;40411;43229;11242;11935;19645;0;1860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1449;0;0
337;46028;63175;12940;9006;10393;0;1382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
338;46979;54522;14823;9918;14282;0;945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;658
339;58649;52714;8712;8797;10217;0;2036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;567
340;50592;42621;9699;10624;13364;0;1759;0;0;0;0;176;0;0;0;0;0;0;0;0;0;978;0;0
341;55068;44534;8657;12886;15797;0;1573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417
342;67178;66311;14560;11173;11642;0;2642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
343;50107;68572;11351;10130;10801;0;2501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1684;0;0
344;64365;58827;10073;11663;9476;0;2029;0;0;0;838;0;0;0;0;0;0;0;0;0;0;1346;0;388
345;55842;49787;10401;11820;10849;0;2283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
346;73215;65573;12982;11976;12533;0;2853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1422;0;502
347;64555;60376;10231;11402;14856;0;2606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1293;0;0
348;69631;50519;9436;12538;9032;0;2791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1163;0;0
349;53572;47584;7507;10801;12012;0;1310;0;0;0;0;118;0;0;0;0;0;0;0;0;4214;0;0;1094
350;46064;52427;8480;10216;10692;0;3023;0;0;0;415;0;0;0;0;0;0;0;0;0;0;1748;0;0
351;60107;54451;12719;14083;9624;0;2599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
352;60483;56503;10765;12493;21360;0;2323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361
353;62588;53255;13587;21226;31564;0;2012;0;0;0;0;343;0;0;0;0;0;0;0;0;0;0;0;1057
354;58879;39186;10850;21647;16985;0;2614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1563;0;423
355;33532;22851;8162;32198;4483;0;3314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
356;27570;26416;6372;32670;4371;0;3918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;781
357;48621;46088;12963;40334;12193;0;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1008
358;38545;39959;11139;62644;8195;0;6096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2846
359;40957;30733;7328;35484;4771;0;3764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1638
360;48720;40708;12356;48515;16479;0;3061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
361;53384;40882;11959;43348;9041;0;5992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
362;38470;30153;10125;43589;7502;0;4928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
363;34529;29829;10878;37224;5650;0;4806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1045
364;32688;35073;8487;34324;3861;0;5513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;915;587
365;22070;34501;6558;36910;3725;0;2461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4203
366;31994;46686;13914;41040;5041;0;3446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;733
367;28783;46720;10250;44002;7796;0;3871;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
368;32420;45389;9686;47303;8572;0;2539;0;0;0;0;612;0;0;0;0;0;0;0;0;0;0;0;844
369;22187;43424;8810;36809;5004;0;2928;0;0;0;0;544;0;0;0;0;0;0;0;0;0;0;0;878
370;30774;44726;11119;44803;4938;0;3719;0;0;0;0;900;0;0;0;0;0;0;0;0;0;0;0;1138
371;22341;42430;11760;46272;11056;0;2483;0;0;0;0;981;0;0;0;0;0;0;0;0;0;0;0;0
372;23592;41281;11224;39610;3950;0;4399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;912
373;23028;43014;10818;47051;5465;0;4337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
374;33943;28760;8869;24871;28108;0;2110;0;0;0;0;0;951;0;0;0;0;0;0;0;0;0;0;2994
375;44769;28374;9604;47070;26674;0;3702;0;0;0;0;0;1090;0;0;0;0;0;0;0;0;0;0;1980
376;35540;50554;13711;10525;13875;0;2613;0;0;0;0;0;879;0;0;0;0;0;0;0;0;0;0;1796
377;41051;44994;10612;11446;10853;0;2463;0;0;0;0;285;1245;0;0;0;0;0;0;0;0;0;0;752
378;45691;66075;15138;9325;27392;0;1544;0;1416;0;0;0;462;0;0;0;0;0;875;0;0;0;0;2267
379;47340;44549;16397;9978;26778;0;1187;0;0;0;0;0;912;0;0;0;0;0;0;0;0;0;0;592
380;38244;54971;13292;13787;44506;0;2413;0;0;0;0;0;1328;0;0;0;0;0;0;0;0;0;0;854
381;35168;39618;11468;15852;18805;0;3356;0;0;0;0;218;0;0;0;0;0;280;0;0;0;0;0;3933
382;26415;18394;6425;27796;73897;0;1791;0;0;0;0;0;0;0;0;0;0;649;0;0;0;0;0;2922
383;25520;29124;6247;62880;10495;0;4092;0;0;0;0;398;1131;0;0;0;0;0;0;0;0;0;0;625
384;20336;24563;6969;60236;7242;0;4725;0;0;0;0;0;1564;0;0;0;0;0;0;0;0;0;0;766
385;24028;22566;5048;61874;9652;0;4492;0;0;0;0;0;1384;0;0;0;0;0;0;0;0;0;0;1439
386;38523;50703;11554;9520;17241;0;1088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
387;54205;63511;13275;13502;11056;0;2501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
388;31111;65143;12342;9859;8933;0;1964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
389;43655;65662;10745;10079;8956;0;2514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
390;63487;69845;18620;11215;11195;0;2620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458
391;50035;75290;20620;11679;12239;0;2321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464
392;43837;42094;10902;10614;15557;0;1971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318
393;55471;59710;18455;9550;26614;0;1131;0;0;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0
394;47625;38093;11187;11390;22550;0;1788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
395;55251;51674;31606;8381;16856;0;1211;0;0;0;0;0;251;0;0;0;0;0;446;0;0;0;0;0
396;42568;73959;18727;10523;15389;0;1765;0;0;0;0;0;0;0;1581;0;0;0;0;0;0;0;0;319
397;39489;80363;16012;7430;14046;0;1443;0;0;0;0;0;0;0;969;0;0;0;0;0;0;0;0;0
398;41165;71759;12990;9599;10066;0;1734;0;0;0;0;0;0;0;0;0;0;0;0;458;0;0;0;449
399;43992;82523;14198;8561;13745;0;1643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409
400;53517;51242;11332;11723;13386;0;2364;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0;0;529
401;51180;49021;11852;15003;13308;0;2337;0;0;0;0;287;0;0;0;0;0;0;0;0;0;0;0;0
402;54910;62365;13940;13418;12956;0;2446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403;50319;66300;11674;8412;10611;0;1690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404;43173;48276;11332;8418;8447;0;1503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
405;45125;68749;16472;10266;15894;0;1304;0;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0
406;44295;50233;10758;12948;13137;0;1560;0;0;0;0;202;0;0;0;0;0;0;0;0;0;0;0;0
407;43614;70787;12763;8709;9935;0;2168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
408;33852;55784;11573;9233;10162;0;1569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243
409;43087;62639;18168;8641;12043;0;1358;0;2100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410;41691;79359;15755;11102;12633;0;1836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411;46290;76480;14620;8787;10148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
412;57225;57576;10624;11071;9873;0;1569;0;1583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
413;50636;44906;11098;10123;9462;0;1425;0;0;0;0;270;0;0;0;0;0;0;0;0;0;0;0;0
414;50231;37146;6956;12481;8933;0;2102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360
415;47568;27634;5734;11275;6288;0;3042;0;0;0;0;275;0;0;0;0;0;0;0;0;0;0;0;309
416;65189;40001;9231;14008;14772;0;2643;0;0;0;0;282;0;0;0;0;0;0;0;0;0;0;0;0
