Jahr;Partei;Land
2009;1;1
2009;1;2
2009;1;3
2009;1;4
2009;1;5
2009;1;6
2009;1;7
2009;1;8
2009;1;9
2009;1;10
2009;1;11
2009;1;12
2009;1;13
2009;1;14
2009;1;15
2009;1;16
2009;2;1
2009;2;2
2009;2;3
2009;2;4
2009;2;5
2009;2;6
2009;2;7
2009;2;8
2009;2;9
2009;2;10
2009;2;11
2009;2;12
2009;2;13
2009;2;15
2009;2;16
2009;3;14
2009;4;1
2009;4;2
2009;4;3
2009;4;4
2009;4;5
2009;4;6
2009;4;7
2009;4;8
2009;4;9
2009;4;10
2009;4;11
2009;4;12
2009;4;13
2009;4;14
2009;4;15
2009;4;16
2009;5;1
2009;5;2
2009;5;3
2009;5;4
2009;5;5
2009;5;6
2009;5;7
2009;5;8
2009;5;9
2009;5;10
2009;5;11
2009;5;12
2009;5;13
2009;5;14
2009;5;15
2009;5;16
2009;6;1
2009;6;2
2009;6;3
2009;6;4
2009;6;5
2009;6;6
2009;6;7
2009;6;8
2009;6;9
2009;6;10
2009;6;11
2009;6;12
2009;6;13
2009;6;14
2009;6;15
2009;6;16
2009;7;6
2009;7;7
2009;8;7
2009;8;8
2009;8;9
2009;8;10
2009;8;11
2009;8;12
2009;8;13
2009;8;14
2009;8;15
2009;9;1
2009;9;2
2009;9;3
2009;9;4
2009;9;5
2009;9;6
2009;9;7
2009;9;8
2009;9;9
2009;9;10
2009;9;11
2009;9;12
2009;9;13
2009;9;14
2009;9;15
2009;9;16
2009;10;3
2009;10;4
2009;10;9
2009;10;11
2009;11;2
2009;11;4
2009;11;5
2009;11;6
2009;11;8
2009;11;9
2009;11;11
2009;11;12
2009;11;14
2009;11;15
2009;11;16
2009;12;2
2009;12;3
2009;12;4
2009;12;5
2009;12;7
2009;12;9
2009;12;10
2009;12;11
2009;12;12
2009;12;13
2009;12;14
2009;12;15
2009;13;5
2009;13;8
2009;13;14
2009;14;1
2009;14;6
2009;14;9
2009;14;11
2009;14;12
2009;14;13
2009;14;14
2009;14;15
2009;14;16
2009;15;4
2009;15;8
2009;15;9
2009;15;10
2009;15;11
2009;15;14
2009;15;15
2009;16;14
2009;17;9
2009;18;9
2009;19;4
2009;19;10
2009;20;3
2009;20;8
2009;20;10
2009;21;6
2009;22;1
2009;22;2
2009;22;3
2009;22;4
2009;22;5
2009;22;6
2009;22;7
2009;22;8
2009;22;9
2009;22;10
2009;22;11
2009;22;12
2009;22;13
2009;22;14
2009;22;15
2009;22;16
2009;23;3
2009;23;8
2009;23;9
2009;23;15
2009;24;8
2009;24;9
2009;24;10
2009;24;11
2009;25;4
2009;25;5
2009;25;7
2009;26;11
2009;27;10
2009;28;8
2009;28;9
2009;28;14
2009;29;10
2009;30;4
2009;31;4
2009;31;8
2009;31;10
2009;31;11
2009;31;14
