Jahr;Partei;Bundesland
2013;33;30
2013;36;25
2013;39;29
2013;35;23
2013;35;29
2013;37;20
2013;39;25
2013;54;30
2013;35;27
2013;35;18
2013;57;29
2013;56;30
2013;38;30
2013;36;19
2013;33;25
2013;35;25
2013;45;30
2013;53;27
2013;36;21
2013;34;32
2013;35;32
2013;33;27
2013;39;32
2013;37;31
2013;33;17
2013;45;27
2013;37;32
2013;36;31
2013;39;22
2013;33;28
2013;44;25
2013;39;18
2013;33;31
2013;35;17
2013;45;22
2013;44;31
2013;57;32
2013;44;32
2013;46;30
2013;39;21
2013;34;27
2013;37;27
2013;42;24
2013;44;19
2013;37;30
2013;43;21
2013;57;27
2013;37;22
2013;33;29
2013;59;19
2013;56;29
2013;44;26
2013;36;30
2013;40;30
2013;33;20
2013;53;21
2013;35;19
2013;33;32
2013;57;23
2013;34;31
2013;53;19
2013;44;29
2013;36;18
2013;39;19
2013;48;31
2013;44;30
2013;35;30
2013;57;31
2013;57;24
2013;52;24
2013;42;27
2013;37;21
2013;36;29
2013;37;25
2013;34;29
2013;44;18
2013;33;21
2013;36;20
2013;34;23
2013;39;20
2013;35;22
2013;39;26
2013;34;26
2013;40;31
2013;36;32
2013;33;24
2013;35;20
2013;35;31
2013;58;30
2013;54;31
2013;43;29
2013;34;20
2013;53;20
2013;34;25
2013;37;18
2013;45;26
2013;59;17
2013;40;27
2013;33;18
2013;41;25
2013;34;17
2013;56;31
2013;42;20
2013;37;26
2013;41;30
2013;53;25
2013;56;20
2013;35;24
2013;36;24
2013;44;27
2013;34;24
2013;58;20
2013;36;27
2013;45;24
2013;56;24
2013;44;21
2013;53;24
2013;59;25
2013;44;20
2013;33;19
2013;56;28
2013;36;23
2013;54;24
2013;48;25
2013;41;29
2013;57;25
2013;41;32
2013;37;23
2013;33;22
2013;55;22
2013;57;21
2013;42;31
2013;35;26
2013;39;23
2013;39;24
2013;58;21
2013;45;25
2013;40;26
2013;44;28
2013;40;21
2013;50;31
2013;42;30
2013;36;22
2013;58;32
2013;40;29
2013;39;30
2013;37;19
2013;34;22
2013;45;31
2013;57;28
2013;40;25
2013;34;19
2013;34;28
2013;35;28
2013;43;30
2013;44;24
2013;44;23
2013;37;17
2013;34;18
2013;47;25
2013;57;30
2013;51;30
2013;56;19
2013;39;27
2013;56;25
2013;37;28
2013;39;31
2013;37;29
2013;43;31
2013;53;23
2013;33;26
2013;39;17
2013;57;18
2013;57;22
2013;44;17
2013;40;24
2013;49;25
2013;36;17
2013;44;22
2013;58;25
2013;57;20
2013;39;28
2013;36;28
2013;36;26
2013;57;19
2013;57;17
2013;53;17
2013;37;24
2013;33;23
2013;35;21
2013;53;22
2013;53;29
2013;34;21
2013;40;22
2013;53;30
2013;47;24
2013;40;28
2013;53;31
2013;42;25
2013;40;18
