Bundesland;Partei
30;33
25;36
29;39
23;35
29;35
20;37
25;39
30;54
27;35
18;35
29;57
30;56
30;38
19;36
25;33
25;35
30;45
27;53
21;36
32;34
32;35
27;33
32;39
31;37
17;33
27;45
32;37
31;36
22;39
28;33
25;44
18;39
31;33
17;35
22;45
31;44
32;57
32;44
30;46
21;39
27;34
27;37
24;42
19;44
30;37
21;43
27;57
22;37
29;33
19;59
29;56
26;44
30;36
30;40
20;33
21;53
19;35
32;33
23;57
31;34
19;53
29;44
18;36
19;39
31;48
30;44
30;35
31;57
24;57
24;52
27;42
21;37
29;36
25;37
29;34
18;44
21;33
20;36
23;34
20;39
22;35
26;39
26;34
31;40
32;36
24;33
20;35
31;35
30;58
31;54
29;43
20;34
20;53
25;34
18;37
26;45
17;59
27;40
18;33
25;41
17;34
31;56
20;42
26;37
30;41
25;53
20;56
24;35
24;36
27;44
24;34
20;58
27;36
24;45
24;56
21;44
24;53
25;59
20;44
19;33
28;56
23;36
24;54
25;48
29;41
25;57
32;41
23;37
22;33
22;55
21;57
31;42
26;35
23;39
24;39
21;58
25;45
26;40
28;44
21;40
31;50
30;42
22;36
32;58
29;40
30;39
19;37
22;34
31;45
28;57
25;40
19;34
28;34
28;35
30;43
24;44
23;44
17;37
18;34
25;47
30;57
30;51
19;56
27;39
25;56
28;37
31;39
29;37
31;43
23;53
26;33
17;39
18;57
22;57
17;44
24;40
25;49
17;36
22;44
25;58
20;57
28;39
28;36
26;36
19;57
17;57
17;53
24;37
23;33
21;35
22;53
29;53
21;34
22;40
30;53
24;47
28;40
31;53
25;42
18;40
17;61
18;61
19;61
20;61
21;61
22;61
23;61
24;61
25;61
26;61
27;61
28;61
29;61
30;61
31;61
32;61
22;60
30;60
