Wahlkreisname;Wahlberechtigte;Jahr;Land
Flensburg - Schleswig;220967;2009;1
Nordfriesland - Dithmarschen Nord;184580;2009;1
Steinburg - Dithmarschen Süd;177200;2009;1
Rendsburg-Eckernförde;197355;2009;1
Kiel;194234;2009;1
Plön - Neumünster;174075;2009;1
Pinneberg;227185;2009;1
Segeberg - Stormarn-Nord;233522;2009;1
Ostholstein;177834;2009;1
Herzogtum Lauenburg - Stormarn-Süd;232711;2009;1
Lübeck;179114;2009;1
Wismar - Nordwestmecklenburg - Parchim;219787;2009;2
Schwerin - Ludwigslust;185092;2009;2
Rostock;193869;2009;2
Stralsund - Nordvorpommern - Rügen;203689;2009;2
Greifswald - Demmin - Ostvorpommern;208610;2009;2
Bad Doberan - Güstrow - Müritz;215271;2009;2
Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow;192472;2009;2
Hamburg-Mitte;245210;2009;3
Hamburg-Altona;170950;2009;3
Hamburg-Eimsbüttel;181988;2009;3
Hamburg-Nord;203063;2009;3
Hamburg-Wandsbek;214063;2009;3
Hamburg-Bergedorf - Harburg;215443;2009;3
Aurich - Emden;187031;2009;4
Unterems;227506;2009;4
Friesland - Wilhelmshaven;190965;2009;4
Oldenburg - Ammerland;210068;2009;4
Delmenhorst - Wesermarsch - Oldenburg-Land;224736;2009;4
Cuxhaven - Stade II;189974;2009;4
Stade I - Rotenburg II;188816;2009;4
Mittelems;222778;2009;4
Cloppenburg - Vechta;206345;2009;4
Diepholz - Nienburg I;192368;2009;4
Osterholz - Verden;190409;2009;4
Rotenburg I - Soltau-Fallingbostel;168165;2009;4
Harburg;185646;2009;4
Lüchow-Dannenberg - Lüneburg;175383;2009;4
Osnabrück-Land;194638;2009;4
Stadt Osnabrück;191774;2009;4
Nienburg II - Schaumburg;199276;2009;4
Stadt Hannover I;179372;2009;4
Stadt Hannover II;188507;2009;4
Hannover-Land I;231063;2009;4
Celle - Uelzen;217953;2009;4
Gifhorn - Peine;216115;2009;4
Hameln-Pyrmont - Holzminden;201339;2009;4
Hannover-Land II;238612;2009;4
Hildesheim;223707;2009;4
Salzgitter - Wolfenbüttel;217909;2009;4
Braunschweig;187823;2009;4
Helmstedt - Wolfsburg;188485;2009;4
Goslar - Northeim - Osterode;219886;2009;4
Göttingen;226392;2009;4
Bremen I;252856;2009;5
Bremen II - Bremerhaven;233619;2009;5
Prignitz - Ostprignitz-Ruppin - Havelland I;176284;2009;6
Uckermark - Barnim I;174854;2009;6
Oberhavel - Havelland II;240691;2009;6
Märkisch-Oderland - Barnim II;248485;2009;6
Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I;203338;2009;6
Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II;227461;2009;6
Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I;241291;2009;6
Frankfurt (Oder) - Oder-Spree;212095;2009;6
Cottbus - Spree-Neiße;203223;2009;6
Elbe-Elster - Oberspreewald-Lausitz II;200630;2009;6
Altmark;188647;2009;7
Börde - Jerichower Land;246402;2009;7
Harz;245549;2009;7
Magdeburg;253665;2009;7
Dessau - Wittenberg;204383;2009;7
Anhalt;259087;2009;7
Halle;226697;2009;7
Burgenland - Saalekreis;221879;2009;7
Mansfeld;241799;2009;7
Berlin-Mitte;192321;2009;8
Berlin-Pankow;224621;2009;8
Berlin-Reinickendorf;185854;2009;8
Berlin-Spandau - Charlottenburg Nord;184180;2009;8
Berlin-Steglitz - Zehlendorf;215568;2009;8
Berlin-Charlottenburg - Wilmersdorf;196910;2009;8
Berlin-Tempelhof - Schöneberg;234161;2009;8
Berlin-Neukölln;194781;2009;8
Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg Ost;215324;2009;8
Berlin-Treptow - Köpenick;193339;2009;8
Berlin-Marzahn - Hellersdorf;200926;2009;8
Berlin-Lichtenberg;200917;2009;8
Aachen;174998;2009;9
Kreis Aachen;227154;2009;9
Heinsberg;185273;2009;9
Düren;198643;2009;9
Erftkreis I;240830;2009;9
Euskirchen - Erftkreis II;243187;2009;9
Köln I;184010;2009;9
Köln II;215119;2009;9
Köln III;192045;2009;9
Bonn;212584;2009;9
Rhein-Sieg-Kreis I;226476;2009;9
Rhein-Sieg-Kreis II;209093;2009;9
Oberbergischer Kreis;212632;2009;9
Rheinisch-Bergischer Kreis;213615;2009;9
Leverkusen - Köln IV;213112;2009;9
Wuppertal I;220640;2009;9
Solingen - Remscheid - Wuppertal II;232219;2009;9
Mettmann I;205589;2009;9
Mettmann II;170221;2009;9
Düsseldorf I;215651;2009;9
Düsseldorf II;193401;2009;9
Neuss I;212741;2009;9
Mönchengladbach;195069;2009;9
Krefeld I - Neuss II;202982;2009;9
Viersen;225763;2009;9
Kleve;223341;2009;9
Wesel I;204858;2009;9
Krefeld II - Wesel II;182775;2009;9
Duisburg I;188411;2009;9
Duisburg II;163423;2009;9
Oberhausen - Wesel III;213983;2009;9
Mülheim - Essen I;197688;2009;9
Essen II;174161;2009;9
Essen III;200447;2009;9
Recklinghausen I;176449;2009;9
Recklinghausen II;196107;2009;9
Gelsenkirchen;193519;2009;9
Steinfurt I - Borken I;196748;2009;9
Bottrop - Recklinghausen III;209649;2009;9
Borken II;191988;2009;9
Coesfeld - Steinfurt II;185527;2009;9
Steinfurt III;189035;2009;9
Münster;204797;2009;9
Warendorf;209515;2009;9
Gütersloh;228920;2009;9
Bielefeld;247826;2009;9
Herford - Minden-Lübbecke II;233966;2009;9
Minden-Lübbecke I;209727;2009;9
Lippe I;175671;2009;9
Höxter - Lippe II;218164;2009;9
Paderborn;237651;2009;9
Hagen - Ennepe-Ruhr-Kreis I;222204;2009;9
Ennepe-Ruhr-Kreis II;185393;2009;9
Bochum I;217794;2009;9
Herne - Bochum II;192599;2009;9
Dortmund I;214994;2009;9
Dortmund II;211796;2009;9
Unna I;204227;2009;9
Hamm - Unna II;241232;2009;9
Soest;230957;2009;9
Hochsauerlandkreis;210773;2009;9
Siegen-Wittgenstein;219343;2009;9
Olpe - Märkischer Kreis I;215002;2009;9
Märkischer Kreis II;213340;2009;9
Nordsachsen;183579;2009;10
Leipzig I;197046;2009;10
Leipzig II;202762;2009;10
Leipzig-Land;235291;2009;10
Meißen;221971;2009;10
Bautzen I;247435;2009;10
Görlitz;250038;2009;10
Sächsische Schweiz - Osterzgebirge;219769;2009;10
Dresden I;219283;2009;10
Dresden II - Bautzen II;219691;2009;10
Mittelsachsen;230350;2009;10
Chemnitz;207889;2009;10
Chemnitzer Umland - Erzgebirgskreis II;209048;2009;10
Erzgebirgskreis I;258186;2009;10
Zwickau;237289;2009;10
Vogtlandkreis;221730;2009;10
Waldeck;194361;2009;11
Kassel;220889;2009;11
Werra-Meißner - Hersfeld-Rotenburg;188904;2009;11
Schwalm-Eder;196524;2009;11
Marburg;183984;2009;11
Lahn-Dill;212485;2009;11
Gießen;225883;2009;11
Fulda;238580;2009;11
Hochtaunus;181959;2009;11
Wetterau;242940;2009;11
Rheingau-Taunus - Limburg;220619;2009;11
Wiesbaden;186409;2009;11
Hanau;239412;2009;11
Main-Taunus;193679;2009;11
Frankfurt am Main I;183183;2009;11
Frankfurt am Main II;203726;2009;11
Groß-Gerau;169776;2009;11
Offenbach;220625;2009;11
Darmstadt;229735;2009;11
Odenwald;234100;2009;11
Bergstraße;199215;2009;11
Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I;208484;2009;12
Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II;206854;2009;12
Kyffhäuserkreis - Sömmerda - Weimarer Land I;207463;2009;12
Gotha - Ilm-Kreis;218863;2009;12
Erfurt - Weimar - Weimarer Land II;223315;2009;12
Gera - Jena - Saale-Holzland-Kreis;248530;2009;12
Greiz - Altenburger Land;190763;2009;12
Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis;239958;2009;12
Suhl - Schmalkalden-Meiningen - Hildburghausen;213525;2009;12
Neuwied;242693;2009;13
Ahrweiler;193865;2009;13
Koblenz;196029;2009;13
Mosel/Rhein-Hunsrück;180870;2009;13
Kreuznach;191864;2009;13
Bitburg;169169;2009;13
Trier;185437;2009;13
Montabaur;212396;2009;13
Mainz;244758;2009;13
Worms;198651;2009;13
Ludwigshafen/Frankenthal;216306;2009;13
Neustadt - Speyer;219704;2009;13
Kaiserslautern;234939;2009;13
Pirmasens;187595;2009;13
Südpfalz;209895;2009;13
Altötting;166212;2009;14
Erding - Ebersberg;179381;2009;14
Freising;197541;2009;14
Fürstenfeldbruck;242940;2009;14
Ingolstadt;245899;2009;14
München-Nord;202793;2009;14
München-Ost;219413;2009;14
München-Süd;200500;2009;14
München-West/Mitte;217460;2009;14
München-Land;226705;2009;14
Rosenheim;222020;2009;14
Starnberg;247824;2009;14
Traunstein;202947;2009;14
Weilheim;244362;2009;14
Deggendorf;154154;2009;14
Landshut;242102;2009;14
Passau;184728;2009;14
Rottal-Inn;161553;2009;14
Straubing;172616;2009;14
Amberg;213156;2009;14
Regensburg;236419;2009;14
Schwandorf;215477;2009;14
Weiden;172807;2009;14
Bamberg;173588;2009;14
Bayreuth;165436;2009;14
Coburg;164542;2009;14
Hof;186643;2009;14
Kulmbach;173566;2009;14
Ansbach;242756;2009;14
Erlangen;172655;2009;14
Fürth;245961;2009;14
Nürnberg-Nord;183712;2009;14
Nürnberg-Süd;183616;2009;14
Roth;223294;2009;14
Aschaffenburg;182224;2009;14
Bad Kissingen;220582;2009;14
Main-Spessart;197707;2009;14
Schweinfurt;198245;2009;14
Würzburg;222087;2009;14
Augsburg-Stadt;203162;2009;14
Augsburg-Land;236590;2009;14
Donau-Ries;187610;2009;14
Neu-Ulm;232818;2009;14
Oberallgäu;217158;2009;14
Ostallgäu;239599;2009;14
Stuttgart I;179288;2009;15
Stuttgart II;179622;2009;15
Böblingen;241166;2009;15
Esslingen;163579;2009;15
Nürtingen;201242;2009;15
Göppingen;180833;2009;15
Waiblingen;217671;2009;15
Ludwigsburg;203269;2009;15
Neckar-Zaber;218571;2009;15
Heilbronn;237705;2009;15
Schwäbisch Hall - Hohenlohe;220164;2009;15
Backnang - Schwäbisch Gmünd;175509;2009;15
Aalen - Heidenheim;224632;2009;15
Karlsruhe-Stadt;197356;2009;15
Karlsruhe-Land;205134;2009;15
Rastatt;207276;2009;15
Heidelberg;208852;2009;15
Mannheim;198518;2009;15
Odenwald - Tauber;216051;2009;15
Rhein-Neckar;193332;2009;15
Bruchsal - Schwetzingen;190693;2009;15
Pforzheim;218955;2009;15
Calw;198594;2009;15
Freiburg;205189;2009;15
Lörrach - Müllheim;220779;2009;15
Emmendingen - Lahr;209138;2009;15
Offenburg;201410;2009;15
Rottweil - Tuttlingen;199140;2009;15
Schwarzwald-Baar;167645;2009;15
Konstanz;193465;2009;15
Waldshut;176676;2009;15
Reutlingen;195834;2009;15
Tübingen;182904;2009;15
Ulm;214908;2009;15
Biberach;158342;2009;15
Bodensee;163240;2009;15
Ravensburg;177314;2009;15
Zollernalb - Sigmaringen;185197;2009;15
Saarbrücken;209832;2009;16
Saarlouis;216527;2009;16
St. Wendel;187024;2009;16
Homburg;205095;2009;16
